Tacticam File,Matched Broadcast File,Similarity Score
tacticam_frame0_player0.jpg,broadcast_frame12_player8.jpg,0.9555
tacticam_frame0_player1.jpg,broadcast_frame10_player9.jpg,0.915
tacticam_frame0_player10.jpg,broadcast_frame94_player6.jpg,0.9668
tacticam_frame0_player11.jpg,broadcast_frame108_player8.jpg,0.9784
tacticam_frame0_player12.jpg,broadcast_frame117_player3.jpg,0.9313
tacticam_frame0_player13.jpg,broadcast_frame116_player7.jpg,0.9354
tacticam_frame0_player14.jpg,broadcast_frame32_player1.jpg,0.9488
tacticam_frame0_player2.jpg,broadcast_frame17_player8.jpg,0.9808
tacticam_frame0_player3.jpg,broadcast_frame57_player3.jpg,0.9536
tacticam_frame0_player4.jpg,broadcast_frame89_player8.jpg,0.9549
tacticam_frame0_player5.jpg,broadcast_frame13_player9.jpg,0.9455
tacticam_frame0_player6.jpg,broadcast_frame104_player7.jpg,0.9443
tacticam_frame0_player7.jpg,broadcast_frame13_player12.jpg,0.947
tacticam_frame0_player8.jpg,broadcast_frame52_player3.jpg,0.9467
tacticam_frame0_player9.jpg,broadcast_frame96_player2.jpg,0.9471
tacticam_frame100_player0.jpg,broadcast_frame116_player7.jpg,0.9725
tacticam_frame100_player1.jpg,broadcast_frame98_player4.jpg,0.9343
tacticam_frame100_player10.jpg,broadcast_frame101_player8.jpg,0.9517
tacticam_frame100_player11.jpg,broadcast_frame25_player8.jpg,0.9545
tacticam_frame100_player12.jpg,broadcast_frame11_player12.jpg,0.9539
tacticam_frame100_player13.jpg,broadcast_frame95_player1.jpg,0.9584
tacticam_frame100_player14.jpg,broadcast_frame83_player9.jpg,0.9607
tacticam_frame100_player15.jpg,broadcast_frame102_player3.jpg,0.9502
tacticam_frame100_player16.jpg,broadcast_frame121_player9.jpg,0.9611
tacticam_frame100_player17.jpg,broadcast_frame78_player9.jpg,0.956
tacticam_frame100_player2.jpg,broadcast_frame117_player3.jpg,0.969
tacticam_frame100_player3.jpg,broadcast_frame101_player2.jpg,0.9386
tacticam_frame100_player4.jpg,broadcast_frame110_player2.jpg,0.9089
tacticam_frame100_player5.jpg,broadcast_frame83_player3.jpg,0.9665
tacticam_frame100_player6.jpg,broadcast_frame105_player1.jpg,0.9527
tacticam_frame100_player7.jpg,broadcast_frame12_player8.jpg,0.9542
tacticam_frame100_player8.jpg,broadcast_frame95_player1.jpg,0.9438
tacticam_frame100_player9.jpg,broadcast_frame80_player3.jpg,0.9679
tacticam_frame101_player0.jpg,broadcast_frame116_player7.jpg,0.9685
tacticam_frame101_player1.jpg,broadcast_frame19_player7.jpg,0.9286
tacticam_frame101_player10.jpg,broadcast_frame98_player4.jpg,0.9585
tacticam_frame101_player11.jpg,broadcast_frame98_player4.jpg,0.9583
tacticam_frame101_player12.jpg,broadcast_frame24_player7.jpg,0.9474
tacticam_frame101_player13.jpg,broadcast_frame12_player8.jpg,0.9566
tacticam_frame101_player14.jpg,broadcast_frame115_player6.jpg,0.948
tacticam_frame101_player15.jpg,broadcast_frame122_player8.jpg,0.97
tacticam_frame101_player2.jpg,broadcast_frame20_player3.jpg,0.9715
tacticam_frame101_player3.jpg,broadcast_frame98_player4.jpg,0.969
tacticam_frame101_player4.jpg,broadcast_frame104_player7.jpg,0.9658
tacticam_frame101_player5.jpg,broadcast_frame98_player4.jpg,0.9623
tacticam_frame101_player6.jpg,broadcast_frame43_player6.jpg,0.9629
tacticam_frame101_player7.jpg,broadcast_frame17_player8.jpg,0.9476
tacticam_frame101_player8.jpg,broadcast_frame19_player7.jpg,0.9447
tacticam_frame101_player9.jpg,broadcast_frame116_player7.jpg,0.9781
tacticam_frame102_player0.jpg,broadcast_frame98_player4.jpg,0.9544
tacticam_frame102_player1.jpg,broadcast_frame19_player7.jpg,0.937
tacticam_frame102_player10.jpg,broadcast_frame117_player3.jpg,0.9749
tacticam_frame102_player11.jpg,broadcast_frame19_player7.jpg,0.9526
tacticam_frame102_player12.jpg,broadcast_frame84_player6.jpg,0.951
tacticam_frame102_player13.jpg,broadcast_frame103_player3.jpg,0.9581
tacticam_frame102_player14.jpg,broadcast_frame99_player6.jpg,0.9434
tacticam_frame102_player15.jpg,broadcast_frame41_player7.jpg,0.9571
tacticam_frame102_player2.jpg,broadcast_frame37_player6.jpg,0.9698
tacticam_frame102_player3.jpg,broadcast_frame116_player7.jpg,0.9577
tacticam_frame102_player4.jpg,broadcast_frame104_player7.jpg,0.9663
tacticam_frame102_player5.jpg,broadcast_frame51_player1.jpg,0.9637
tacticam_frame102_player6.jpg,broadcast_frame105_player1.jpg,0.9664
tacticam_frame102_player7.jpg,broadcast_frame32_player4.jpg,0.9644
tacticam_frame102_player8.jpg,broadcast_frame98_player4.jpg,0.968
tacticam_frame102_player9.jpg,broadcast_frame25_player10.jpg,0.9642
tacticam_frame103_player0.jpg,broadcast_frame105_player1.jpg,0.9575
tacticam_frame103_player1.jpg,broadcast_frame25_player10.jpg,0.95
tacticam_frame103_player10.jpg,broadcast_frame79_player4.jpg,0.9635
tacticam_frame103_player11.jpg,broadcast_frame97_player1.jpg,0.9525
tacticam_frame103_player12.jpg,broadcast_frame55_player8.jpg,0.972
tacticam_frame103_player13.jpg,broadcast_frame81_player10.jpg,0.9538
tacticam_frame103_player14.jpg,broadcast_frame107_player0.jpg,0.9613
tacticam_frame103_player15.jpg,broadcast_frame43_player6.jpg,0.9666
tacticam_frame103_player16.jpg,broadcast_frame9_player12.jpg,0.9442
tacticam_frame103_player17.jpg,broadcast_frame116_player7.jpg,0.9654
tacticam_frame103_player2.jpg,broadcast_frame83_player3.jpg,0.9665
tacticam_frame103_player3.jpg,broadcast_frame70_player3.jpg,0.959
tacticam_frame103_player4.jpg,broadcast_frame17_player8.jpg,0.9681
tacticam_frame103_player5.jpg,broadcast_frame120_player4.jpg,0.9638
tacticam_frame103_player6.jpg,broadcast_frame117_player3.jpg,0.9509
tacticam_frame103_player7.jpg,broadcast_frame102_player3.jpg,0.972
tacticam_frame103_player8.jpg,broadcast_frame17_player8.jpg,0.9567
tacticam_frame103_player9.jpg,broadcast_frame42_player7.jpg,0.9643
tacticam_frame104_player0.jpg,broadcast_frame98_player4.jpg,0.9477
tacticam_frame104_player1.jpg,broadcast_frame120_player4.jpg,0.9524
tacticam_frame104_player10.jpg,broadcast_frame37_player12.jpg,0.9543
tacticam_frame104_player11.jpg,broadcast_frame17_player8.jpg,0.9763
tacticam_frame104_player12.jpg,broadcast_frame98_player4.jpg,0.969
tacticam_frame104_player13.jpg,broadcast_frame46_player7.jpg,0.9406
tacticam_frame104_player14.jpg,broadcast_frame116_player7.jpg,0.9766
tacticam_frame104_player15.jpg,broadcast_frame42_player7.jpg,0.9575
tacticam_frame104_player2.jpg,broadcast_frame70_player3.jpg,0.9475
tacticam_frame104_player3.jpg,broadcast_frame25_player10.jpg,0.9482
tacticam_frame104_player4.jpg,broadcast_frame37_player6.jpg,0.9664
tacticam_frame104_player5.jpg,broadcast_frame120_player4.jpg,0.9535
tacticam_frame104_player6.jpg,broadcast_frame10_player7.jpg,0.9619
tacticam_frame104_player7.jpg,broadcast_frame117_player3.jpg,0.9525
tacticam_frame104_player8.jpg,broadcast_frame95_player1.jpg,0.9482
tacticam_frame104_player9.jpg,broadcast_frame17_player8.jpg,0.9567
tacticam_frame105_player0.jpg,broadcast_frame98_player4.jpg,0.9677
tacticam_frame105_player1.jpg,broadcast_frame25_player10.jpg,0.9489
tacticam_frame105_player10.jpg,broadcast_frame72_player6.jpg,0.9686
tacticam_frame105_player11.jpg,broadcast_frame17_player8.jpg,0.9678
tacticam_frame105_player12.jpg,broadcast_frame95_player1.jpg,0.938
tacticam_frame105_player13.jpg,broadcast_frame113_player5.jpg,0.9524
tacticam_frame105_player14.jpg,broadcast_frame117_player3.jpg,0.9704
tacticam_frame105_player15.jpg,broadcast_frame42_player7.jpg,0.9699
tacticam_frame105_player16.jpg,broadcast_frame116_player7.jpg,0.9527
tacticam_frame105_player2.jpg,broadcast_frame43_player6.jpg,0.969
tacticam_frame105_player3.jpg,broadcast_frame120_player4.jpg,0.9391
tacticam_frame105_player4.jpg,broadcast_frame67_player10.jpg,0.9581
tacticam_frame105_player5.jpg,broadcast_frame99_player4.jpg,0.963
tacticam_frame105_player6.jpg,broadcast_frame42_player7.jpg,0.9516
tacticam_frame105_player7.jpg,broadcast_frame104_player7.jpg,0.9606
